*  
*             E T A - U M A
  2342.200      6.6113421E+08
  2344.000      6.8631130E+08
  2345.800      6.8079206E+08
  2347.800      6.8377056E+08
  2349.600      6.9178106E+08
  2351.400      6.9745984E+08
  2353.400      6.8586234E+08
  2355.200      6.8821133E+08
  2357.000      7.0713536E+08
  2359.000      7.1828928E+08
  2360.800      7.1546522E+08
  2362.600      6.9393395E+08
  2364.600      7.0006682E+08
  2366.400      6.7872621E+08
  2368.200      6.8255392E+08
  2370.200      6.9770496E+08
  2372.000      7.0453766E+08
  2373.800      6.8239955E+08
  2375.800      6.7523418E+08
  2377.600      6.8719501E+08
  2379.400      6.7412749E+08
  2381.400      6.7172915E+08
  2383.200      6.7732365E+08
  2385.200      6.7933754E+08
  2387.000      6.7130157E+08
  2388.800      6.9372518E+08
  2390.800      6.9074278E+08
  2392.600      6.5108646E+08
  2394.400      6.7118509E+08
  2396.400      6.7108634E+08
  2398.200      6.8486451E+08
  2400.000      6.5634470E+08
  2402.000      6.7490214E+08
  2403.800      6.8146214E+08
  2405.600      6.8418061E+08
  2407.600      6.8387264E+08
  2409.400      6.7255866E+08
  2411.200      6.7833434E+08
  2413.200      6.8914893E+08
  2415.000      6.8367898E+08
  2416.800      6.8521504E+08
  2418.800      6.9385318E+08
  2420.600      7.1618355E+08
  2422.400      6.9953203E+08
  2424.400      6.7988077E+08
  2426.200      6.6734490E+08
  2428.000      6.7788461E+08
  2430.000      6.7571181E+08
  2431.800      6.9751501E+08
  2433.800      6.9406195E+08
  2435.600      6.8695968E+08
  2437.400      6.8557926E+08
  2439.400      6.9460019E+08
  2441.200      6.9182515E+08
  2443.000      6.8247898E+08
  2445.000      6.7641254E+08
  2446.800      6.8552506E+08
  2448.600      7.1307642E+08
  2450.600      7.0856230E+08
  2452.400      7.2057843E+08
  2454.200      7.0398246E+08
  2456.200      7.0977075E+08
  2458.000      7.1147635E+08
  2459.800      7.1229702E+08
  2461.800      7.0021907E+08
  2463.600      6.9323635E+08
  2465.400      7.0636557E+08
  2467.400      7.0497094E+08
  2469.200      6.8070835E+08
  2471.000      6.6720282E+08
  2473.000      6.5600320E+08
  2474.800      6.6319750E+08
  2476.600      6.7607546E+08
  2478.600      6.9675264E+08
  2480.400      7.0222854E+08
  2482.400      7.3899398E+08
  2484.200      7.1396947E+08
  2486.000      7.0327328E+08
  2488.000      6.9170362E+08
  2489.800      7.0774278E+08
  2491.600      7.2364358E+08
  2493.600      7.2084115E+08
  2495.400      7.0029747E+08
  2497.200      6.9746906E+08
  2499.200      7.1675782E+08
  2501.000      7.2682234E+08
  2502.800      7.2731725E+08
  2504.800      7.1643366E+08
  2506.600      7.1327373E+08
  2508.400      7.0286413E+08
  2510.400      7.0837248E+08
  2512.200      6.9259731E+08
  2514.000      6.9539834E+08
  2516.000      6.8713312E+08
  2517.800      6.8407546E+08
  2519.600      6.9752109E+08
  2521.600      7.0058662E+08
  2523.400      6.9841466E+08
  2525.400      6.8769466E+08
  2527.200      6.9288787E+08
  2529.000      7.1220474E+08
  2531.000      6.9633504E+08
  2532.800      6.7555750E+08
  2534.600      7.0523885E+08
  2536.600      6.9843155E+08
  2538.400      6.9073216E+08
  2540.200      6.7752595E+08
  2542.200      6.7944493E+08
  2544.000      6.9122227E+08
  2545.800      6.8716634E+08
  2547.800      6.7202278E+08
  2549.600      6.7483245E+08
  2551.400      6.8461043E+08
  2553.400      6.6480282E+08
  2555.200      6.7105248E+08
  2557.000      6.7923309E+08
  2559.000      6.8850458E+08
  2560.800      6.9350893E+08
  2562.600      7.1002950E+08
  2564.600      7.0516141E+08
  2566.400      6.9726995E+08
  2568.200      7.0772256E+08
  2570.200      7.0456550E+08
  2572.000      7.2305274E+08
  2574.000      7.1179667E+08
  2575.800      7.2057370E+08
  2577.600      7.1286502E+08
  2579.600      7.0368109E+08
  2581.400      7.0397939E+08
  2583.200      7.0080512E+08
  2585.200      6.9949056E+08
  2587.000      6.9732659E+08
  2588.800      6.9569158E+08
  2590.800      6.9061997E+08
  2592.600      6.9261402E+08
  2594.400      7.0013600E+08
  2596.400      7.2423974E+08
  2598.200      7.2079053E+08
  2600.000      7.1837133E+08
  2602.000      7.0667590E+08
  2603.800      6.9806355E+08
  2605.600      6.8853178E+08
  2607.600      6.8495475E+08
  2609.400      6.8629926E+08
  2611.200      6.9634118E+08
  2613.200      6.9210323E+08
  2615.000      6.9536320E+08
  2616.800      7.0118842E+08
  2618.800      6.8230662E+08
  2620.600      6.7146816E+08
  2622.600      6.8695968E+08
  2624.400      7.0875059E+08
  2626.200      7.3448998E+08
  2628.200      6.9931091E+08
  2630.000      6.7096992E+08
  2631.800      6.6127936E+08
  2633.800      6.9660115E+08
  2635.600      7.1073926E+08
  2637.400      7.2047878E+08
  2639.400      7.1176858E+08
  2641.200      7.2102323E+08
  2643.000      7.0541850E+08
  2645.000      7.0664019E+08
  2646.800      7.0801478E+08
  2648.600      7.1283059E+08
  2650.600      7.0937805E+08
  2652.400      7.1219693E+08
  2654.200      7.2411091E+08
  2656.200      7.2649523E+08
  2658.000      7.3177728E+08
  2659.800      7.3168090E+08
  2661.800      7.1195770E+08
  2663.600      7.0917869E+08
  2665.600      7.0342304E+08
  2667.400      6.9613171E+08
  2669.200      7.0046816E+08
  2671.200      7.0930957E+08
  2673.000      7.1979565E+08
  2674.800      7.1620397E+08
  2676.800      7.1323142E+08
  2678.600      7.1692621E+08
  2680.400      7.1399142E+08
  2682.400      7.2418093E+08
  2684.200      7.3159571E+08
  2686.000      7.3384512E+08
  2688.000      7.1269914E+08
  2689.800      7.2272096E+08
  2691.600      7.3743936E+08
  2693.600      7.1545888E+08
  2695.400      6.8968640E+08
  2697.200      6.7829114E+08
  2699.200      6.8634598E+08
  2701.000      6.8448115E+08
  2702.800      7.0616710E+08
  2704.800      7.0592525E+08
  2706.600      7.1948275E+08
  2708.400      6.8646355E+08
  2710.400      6.9178566E+08
  2712.200      7.0170598E+08
  2714.200      6.9372672E+08
  2716.000      6.7610362E+08
  2717.800      6.8143821E+08
  2719.800      6.9095213E+08
  2721.600      6.8263936E+08
  2723.400      6.8941382E+08
  2725.400      6.7866803E+08
  2727.200      6.7449619E+08
  2729.000      6.9028640E+08
  2731.000      6.9304762E+08
  2732.800      6.9817542E+08
  2734.600      7.1734669E+08
  2736.600      7.3656384E+08
  2738.400      7.0027130E+08
  2740.200      6.9057139E+08
  2742.200      6.7504589E+08
  2744.000      6.8404390E+08
  2745.800      6.6902938E+08
  2747.800      6.6762342E+08
  2749.600      6.7625658E+08
  2751.400      6.8119283E+08
  2753.400      6.8229466E+08
  2755.200      6.9336730E+08
  2757.000      7.0006835E+08
  2759.000      7.0264499E+08
  2760.800      6.9657978E+08
  2762.800      6.8970304E+08
  2764.600      6.9244979E+08
  2766.400      6.9049107E+08
  2768.400      6.7413338E+08
  2770.200      6.6837446E+08
  2772.000      6.6569690E+08
  2774.000      6.8222278E+08
  2775.800      6.7881562E+08
  2777.600      6.7132806E+08
  2779.600      6.7637242E+08
  2781.400      6.7753190E+08
  2783.200      6.8329171E+08
  2785.200      6.8495475E+08
  2787.000      6.8692346E+08
  2788.800      6.9009088E+08
  2790.800      6.9051078E+08
  2792.600      6.7151091E+08
  2794.400      6.5561011E+08
  2796.400      6.6720717E+08
  2798.200      6.9629990E+08
  2800.000      6.9121926E+08
  2802.000      6.7765094E+08
  2803.800      6.9332621E+08
  2805.800      6.9749050E+08
  2807.600      6.8313421E+08
  2809.400      6.9199379E+08
  2811.400      7.0143635E+08
  2813.200      7.0477133E+08
  2815.000      7.0503290E+08
  2817.000      7.0283789E+08
  2818.800      7.0105754E+08
  2820.600      7.0667744E+08
  2822.600      7.0306477E+08
  2824.400      6.8858778E+08
  2826.200      6.9397203E+08
  2828.200      6.9448429E+08
  2830.000      6.6531840E+08
  2831.800      6.4724051E+08
  2833.800      6.6310432E+08
  2835.600      6.7154778E+08
  2837.400      6.7033523E+08
  2839.400      6.5810541E+08
  2841.200      6.6603904E+08
  2843.000      6.6238099E+08
  2845.000      6.6473715E+08
  2846.800      6.6706362E+08
  2848.600      6.8105075E+08
  2850.600      6.8772339E+08
  2852.400      6.9217005E+08
  2854.400      6.7062970E+08
  2856.200      6.7135757E+08
  2858.000      6.8244000E+08
  2860.000      6.8399430E+08
  2861.800      6.8365498E+08
  2863.600      6.7856672E+08
  2865.600      6.8481037E+08
  2867.400      6.8699738E+08
  2869.200      6.8647104E+08
  2871.200      6.8126765E+08
  2873.000      6.8599187E+08
  2874.800      6.7594925E+08
  2876.800      6.6864160E+08
  2878.600      6.8702906E+08
  2880.400      6.8417907E+08
  2882.400      6.8433837E+08
  2884.200      6.6848896E+08
  2886.000      6.6321933E+08
  2888.000      6.8333222E+08
  2889.800      6.6386630E+08
  2891.600      6.5531789E+08
  2893.600      6.7868294E+08
  2895.400      6.7866803E+08
  2897.200      6.7280685E+08
  2899.200      6.6344659E+08
  2901.000      6.6371763E+08
  2903.000      6.8007187E+08
  2904.800      6.7986579E+08
  2906.600      6.8089376E+08
  2908.600      6.8114944E+08
  2910.400      6.7938528E+08
  2912.200      6.7214528E+08
  2914.200      6.7008358E+08
  2916.000      6.8181542E+08
  2917.800      6.7317485E+08
  2919.800      6.7047213E+08
  2921.600      6.6998496E+08
  2923.400      6.5214682E+08
  2925.400      6.4432064E+08
  2927.200      6.5905414E+08
  2929.000      6.5414470E+08
  2931.000      6.4527923E+08
  2932.800      6.4771110E+08
  2934.600      6.4074253E+08
  2936.600      6.4218630E+08
  2938.400      6.6379341E+08
  2940.200      6.7043386E+08
  2942.200      6.6715885E+08
  2944.000      6.5838586E+08
  2946.000      6.5406285E+08
  2947.800      6.5008646E+08
  2949.600      6.5744826E+08
  2951.600      6.5668064E+08
  2953.400      6.7058701E+08
  2955.200      6.6692301E+08
  2957.200      6.8070835E+08
  2959.000      6.8128256E+08
  2960.800      6.7022483E+08
  2962.800      6.6649990E+08
  2964.600      6.6808096E+08
  2966.400      6.5863891E+08
  2968.400      6.7683450E+08
  2970.200      6.7506816E+08
  2972.000      6.7983597E+08
  2974.000      6.7485325E+08
  2975.800      6.7086682E+08
  2977.600      6.5225133E+08
  2979.600      6.6080474E+08
  2981.400      6.7000704E+08
  2983.200      6.6403392E+08
  2985.200      6.5584480E+08
  2987.000      6.4617542E+08
  2988.800      6.4008013E+08
  2990.800      6.4873741E+08
  2992.600      6.3881920E+08
  2994.600      6.3757190E+08
  2996.400      6.4103667E+08
  2998.200      6.5280870E+08
  3000.200      6.5605651E+08
  3002.000      6.5459731E+08
  3003.800      6.5042061E+08
  3005.800      6.6857114E+08
  3007.600      6.7772384E+08
  3009.400      6.6313779E+08
  3011.400      6.7259264E+08
  3013.200      6.6594400E+08
  3015.000      6.5368378E+08
  3017.000      6.5368378E+08
  3018.800      6.6287718E+08
  3020.600      6.6514163E+08
  3022.600      6.6053197E+08
  3024.400      6.5340819E+08
  3026.200      6.5505894E+08
  3028.200      6.6587085E+08
  3030.000      6.6141587E+08
  3031.800      6.9224454E+08
  3033.800      6.7406976E+08
  3035.600      6.5379859E+08
  3037.400      6.6383712E+08
  3039.400      6.7385069E+08
  3041.200      6.7471693E+08
  3043.200      6.7058406E+08
  3045.000      6.6213523E+08
  3046.800      6.6652480E+08
  3048.800      6.9389734E+08
  3050.600      6.7923610E+08
  3052.400      6.8536403E+08
  3054.400      6.7723885E+08
  3056.200      6.5517114E+08
  3058.000      6.3791923E+08
  3060.000      6.6270253E+08
  3061.800      6.5784973E+08
  3063.600      6.4789318E+08
  3065.600      6.6802522E+08
  3067.400      6.7232538E+08
  3069.200      6.4936736E+08
  3071.200      6.4972966E+08
  3073.000      6.4986810E+08
  3074.800      6.5270842E+08
  3076.800      6.4009984E+08
  3078.600      6.7412006E+08
  3080.400      6.9083379E+08
  3082.400      6.7271968E+08
  3084.200      6.7838643E+08
  3086.200      6.5273990E+08
  3088.000      6.5538982E+08
  3089.800      6.6112256E+08
  3091.800      6.5959706E+08
  3093.600      6.4430086E+08
  3095.400      6.6506419E+08
  3097.400      6.4005062E+08
  3099.200      6.5635046E+08
  3101.000      6.7367610E+08
  3103.000      6.7983744E+08
  3104.800      6.6614432E+08
  3106.600      6.5312275E+08
  3108.600      6.5361056E+08
  3110.400      6.5302093E+08
  3112.200      6.4334093E+08
  3114.200      6.4466739E+08
  3116.000      6.6569248E+08
  3117.800      6.5712922E+08
  3119.800      6.6175296E+08
  3121.600      6.7415706E+08
  3123.400      6.7514822E+08
  3125.400      6.5031347E+08
  3127.200      6.5364358E+08
  3129.000      6.7269306E+08
  3131.000      6.7664429E+08
  3132.800      6.6217306E+08
  3134.800      6.5704122E+08
  3136.600      6.7062970E+08
  3138.400      6.5364070E+08
  3140.400      6.5685946E+08
  3142.200      6.4871174E+08
  3144.000      6.4938451E+08
  3146.000      6.3715488E+08
  3147.800      6.6024915E+08
  3149.600      6.6209600E+08
  3151.600      6.7822560E+08
  3153.400      6.8978330E+08
  3155.200      6.5817773E+08
  3157.200      6.7515706E+08
  3159.000      6.5808230E+08
  3160.800      6.5216826E+08
  3162.800      6.3833120E+08
  3164.600      6.3414125E+08
  3166.400      6.4037395E+08
  3168.400      6.6406310E+08
  3170.200      6.5082490E+08
  3172.000      6.5960141E+08
  3174.000      6.4204954E+08
  3175.800      6.4381152E+08
  3177.600      6.6444966E+08
  3179.600      6.5994912E+08
  3181.400      6.3206566E+08
  3183.400      6.5231866E+08
  3185.200      6.5446944E+08
  3187.000      6.3801587E+08
  3189.000      6.3754816E+08
  3190.800      6.3774554E+08
  3192.600      6.7843117E+08
  3194.600      6.9326835E+08
  3196.400      6.6529498E+08
  3198.200      6.3838170E+08
  3205.297      6.7432736E+08
  3210.647      6.7520602E+08
  3216.006      6.7482950E+08
  3221.375      6.7401203E+08
  3226.752      6.7319994E+08
  3232.138      6.7238445E+08
  3237.533      6.7162592E+08
  3242.937      6.7142541E+08
  3248.350      6.7122342E+08
  3253.772      6.7102445E+08
  3259.204      6.7082413E+08
  3264.644      6.7053837E+08
  3270.093      6.7016154E+08
  3275.552      6.6977901E+08
  3281.020      6.6940557E+08
  3286.496      6.6902643E+08
  3291.982      6.6877523E+08
  3297.477      6.6854029E+08
  3302.981      6.6830400E+08
  3308.495      6.6806189E+08
  3314.017      6.6761312E+08
  3319.549      6.6680147E+08
  3325.090      6.6598490E+08
  3330.640      6.6517082E+08
  3336.200      6.6434899E+08
  3341.769      6.6355731E+08
  3347.347      6.6276512E+08
  3352.934      6.6197382E+08
  3358.531      6.6117626E+08
  3364.137      6.6062189E+08
  3369.752      6.6046381E+08
  3375.377      6.6029990E+08
  3381.011      6.6013754E+08
  3386.655      6.5997958E+08
  3392.308      6.5929587E+08
  3397.971      6.5857382E+08
  3403.643      6.5784973E+08
  3409.324      6.5713069E+08
  3415.015      6.5670080E+08
  3420.715      6.5653498E+08
  3426.425      6.5637069E+08
  3432.145      6.5620640E+08
  3437.874      6.5596576E+08
  3443.612      6.5532365E+08
  3449.360      6.5467494E+08
  3455.118      6.5402694E+08
  3460.885      6.5337664E+08
  3466.662      6.5292198E+08
  3472.449      6.5251782E+08
  3478.245      6.5210240E+08
  3484.051      6.5168870E+08
  3489.867      6.5118803E+08
  3495.692      6.5059629E+08
  3501.527      6.5000365E+08
  3507.372      6.4940730E+08
  3513.226      6.4880294E+08
  3519.091      6.4817638E+08
  3524.965      6.4754330E+08
  3530.849      6.4691366E+08
  3536.742      6.4627757E+08
  3542.646      6.4552582E+08
  3548.559      6.4476653E+08
  3554.483      6.4400806E+08
  3560.416      6.4324205E+08
  3566.359      6.4238522E+08
  3572.312      6.4150131E+08
  3578.275      6.4060883E+08
  3584.248      6.3971482E+08
  3590.231      6.3907456E+08
  3596.224      6.3864525E+08
  3602.226      6.3821069E+08
  3608.239      6.3777920E+08
  3614.262      6.3720102E+08
  3620.295      6.3639136E+08
  3626.338      6.3557581E+08
  3632.391      6.3476403E+08
  3638.455      6.3481280E+08
  3644.528      6.3614688E+08
  3650.611      6.3748230E+08
  3656.705      6.3881779E+08
  3662.809      6.3937075E+08
  3668.923      6.3805792E+08
  3675.047      6.3674221E+08
  3681.182      6.3542650E+08
  3687.326      6.3384333E+08
  3693.481      6.2758458E+08
  3699.646      6.2131123E+08
  3705.822      6.1508307E+08
  3712.008      6.0880499E+08
  3718.204      6.2095936E+08
  3724.410      6.3313389E+08
  3730.627      6.4533312E+08
  3736.854      6.5754643E+08
  3743.092      6.5461171E+08
  3749.340      6.5130240E+08
  3755.598      6.4799277E+08
  3761.867      6.4467309E+08
  3768.146      6.6954669E+08
  3774.437      6.9508083E+08
  3780.737      7.2064806E+08
  3787.048      7.4625562E+08
  3793.369      7.7100179E+08
  3799.701      7.9579059E+08
  3806.043      8.2061734E+08
  3812.396      8.4192781E+08
  3818.760      8.0963974E+08
  3825.135      7.7729843E+08
  3831.520      7.4489837E+08
  3837.915      7.2675686E+08
  3844.321      7.9449152E+08
  3850.738      8.6233990E+08
  3857.166      9.3030848E+08
  3863.604      9.6386547E+08
  3870.054      8.9327059E+08
  3876.514      8.2254957E+08
  3882.984      7.5170445E+08
  3889.466      7.3415942E+08
  3895.958      8.0377619E+08
  3902.461      8.7350445E+08
  3908.975      9.4335296E+08
  3915.500      9.7822003E+08
  3922.036      9.8276083E+08
  3928.583      9.8731411E+08
  3935.140      9.9186880E+08
  3941.709      9.4740320E+08
  3948.289      8.8346029E+08
  3954.879      8.1940550E+08
  3961.481      7.5523526E+08
  3968.093      7.8563488E+08
  3974.717      8.2419130E+08
  3981.352      8.6279450E+08
  3987.997      8.9925958E+08
  3994.654      9.2320403E+08
  4001.322      9.4718688E+08
  4008.001      9.7122522E+08
  4014.691      9.8467910E+08
  4021.393      9.8235738E+08
  4028.105      9.8002822E+08
  4034.829      9.7769818E+08
  4041.564      9.7683123E+08
  4048.310      9.7667034E+08
  4055.068      9.7651597E+08
  4061.836      9.7635085E+08
  4068.616      9.4473152E+08
  4075.408      9.1227533E+08
  4082.210      8.7976838E+08
  4089.025      8.4723014E+08
  4095.850      8.1474234E+08
  4102.687      7.8219891E+08
  4109.535      7.4959622E+08
  4116.395      7.7214035E+08
  4123.266      8.2571840E+08
  4130.148      8.7939373E+08
  4137.042      9.3285741E+08
  4143.948      9.3805856E+08
  4150.865      9.4326394E+08
  4157.794      9.4848352E+08
  4164.734      9.5160032E+08
  4171.686      9.5145408E+08
  4178.649      9.5130995E+08
  4185.625      9.5116582E+08
  4192.611      9.4981958E+08
  4199.610      9.4818368E+08
  4206.620      9.4653395E+08
  4213.642      9.4474816E+08
  4220.675      9.4251027E+08
  4227.720      9.4026938E+08
  4234.777      9.3802355E+08
  4241.846      9.3435808E+08
  4248.926      9.3003680E+08
  4256.019      9.2570099E+08
  4263.123      9.2186298E+08
  4270.239      9.2067142E+08
  4277.367      9.1947731E+08
  4284.507      9.1828077E+08
  4291.658      9.1287853E+08
  4298.822      9.0520922E+08
  4305.998      8.9752550E+08
  4313.186      8.7972979E+08
  4320.385      8.1071610E+08
  4327.597      7.4156403E+08
  4334.820      6.7229734E+08
  4342.056      6.9073069E+08
  4349.304      7.4711974E+08
  4356.564      8.0362624E+08
  4363.836      8.4855021E+08
  4371.120      8.5892678E+08
  4378.417      8.6930995E+08
  4385.725      8.7970854E+08
  4393.045      8.8280672E+08
  4400.378      8.8435891E+08
  4407.724      8.8591392E+08
  4415.081      8.8592365E+08
  4422.451      8.8378816E+08
  4429.833      8.8164819E+08
  4437.227      8.7945165E+08
  4444.634      8.7583616E+08
  4452.053      8.7221254E+08
  4459.484      8.6857530E+08
  4466.928      8.6649882E+08
  4474.384      8.6523443E+08
  4481.853      8.6395859E+08
  4489.334      8.6313939E+08
  4496.828      8.6330810E+08
  4504.334      8.6347494E+08
  4511.853      8.6365510E+08
  4519.384      8.6208621E+08
  4526.928      8.6048237E+08
  4534.484      8.5887776E+08
  4542.053      8.5689779E+08
  4549.635      8.5473664E+08
  4557.229      8.5256218E+08
  4564.836      8.5063040E+08
  4572.456      8.4908518E+08
  4580.088      8.4753530E+08
  4587.733      8.4594925E+08
  4595.391      8.4400288E+08
  4603.062      8.4204429E+08
  4610.745      8.4008653E+08
  4618.441      8.3826221E+08
  4626.151      8.3645658E+08
  4633.873      8.3465114E+08
  4641.608      8.3283674E+08
  4649.355      8.3102086E+08
  4657.116      8.2920710E+08
  4664.890      8.2747731E+08
  4672.677      8.2589434E+08
  4680.477      8.2431258E+08
  4688.289      8.2223898E+08
  4696.115      8.1769971E+08
  4703.954      8.1315155E+08
  4711.806      8.0859680E+08
  4719.670      8.0864826E+08
  4727.549      8.0882054E+08
  4735.440      8.0899283E+08
  4743.344      8.0843699E+08
  4751.262      8.0769530E+08
  4759.193      8.0695424E+08
  4767.137      8.0473523E+08
  4775.094      8.0169971E+08
  4783.065      7.9866515E+08
  4791.049      7.9553376E+08
  4799.046      7.9231546E+08
  4807.057      7.8909459E+08
  4815.081      7.8333171E+08
  4823.118      7.7348275E+08
  4831.169      7.6360838E+08
  4839.233      7.3989517E+08
  4847.311      6.7996736E+08
  4855.402      6.1993344E+08
  4863.507      5.8148403E+08
  4871.625      6.3815462E+08
  4879.757      6.9492058E+08
  4887.902      7.4605901E+08
  4896.061      7.5124570E+08
  4904.234      7.5644358E+08
  4912.420      7.6146003E+08
  4920.620      7.6319430E+08
  4928.833      7.6491738E+08
  4937.061      7.6662925E+08
  4945.302      7.6568371E+08
  4953.556      7.6473766E+08
  4961.825      7.6379117E+08
  4970.107      7.6198522E+08
  4978.403      7.6016192E+08
  4986.713      7.5833626E+08
  4995.037      7.5534976E+08
  5003.375      7.5231219E+08
  5011.727      7.4927859E+08
  5020.092      7.4622611E+08
  5028.472      7.4407930E+08
  5036.866      7.4322195E+08
  5045.273      7.4236077E+08
  5053.695      7.4149888E+08
  5062.130      7.4063482E+08
  5070.580      7.3977005E+08
  5079.044      7.3860301E+08
  5087.522      7.3711072E+08
  5096.014      7.3561498E+08
  5104.521      7.3411750E+08
  5113.041      7.3261658E+08
  5121.576      7.3111392E+08
  5130.125      7.2959034E+08
  5138.688      7.2806189E+08
  5147.266      7.2652710E+08
  5155.857      7.2498758E+08
  5164.464      7.2344659E+08
  5173.084      7.2189933E+08
  5181.719      7.2030317E+08
  5190.369      7.1868371E+08
  5199.033      7.1706323E+08
  5207.711      7.1544006E+08
  5216.404      7.1381274E+08
  5225.111      7.1218445E+08
  5233.833      7.1060038E+08
  5242.569      7.0900589E+08
  5251.320      7.0741338E+08
  5260.085      7.0581824E+08
  5268.866      7.0422208E+08
  5277.661      7.0260640E+08
  5286.470      7.0096365E+08
  5295.294      6.9931091E+08
  5304.133      6.9765747E+08
  5312.987      6.9600026E+08
  5321.855      6.9433939E+08
  5330.739      6.9284678E+08
  5339.637      6.9143936E+08
  5348.550      6.9002419E+08
  5357.478      6.8861344E+08
  5366.421      6.8719200E+08
  5375.378      6.8575994E+08
  5384.351      6.8405741E+08
  5393.339      6.8235008E+08
  5402.341      6.8063661E+08
  5411.359      6.7891994E+08
  5420.392      6.7720614E+08
  5429.439      6.7553082E+08
  5438.502      6.7389805E+08
  5447.581      6.7226925E+08
  5456.673      6.7063264E+08
  5465.782      6.6899706E+08
  5474.905      6.6735667E+08
  5484.044      6.6606829E+08
  5493.198      6.6478240E+08
  5502.368      6.6349613E+08
  5511.552      6.6220211E+08
  5520.752      6.6091066E+08
  5529.967      6.5948122E+08
  5539.198      6.5793926E+08
  5548.444      6.5639226E+08
  5557.706      6.5484896E+08
  5566.983      6.5330637E+08
  5576.275      6.5175309E+08
  5585.583      6.5015642E+08
  5594.907      6.4855648E+08
  5604.246      6.4695059E+08
  5613.601      6.4534867E+08
  5622.971      6.4373798E+08
  5632.356      6.4229632E+08
  5641.758      6.4090291E+08
  5651.175      6.3950554E+08
  5660.608      6.3810976E+08
  5670.057      6.3670726E+08
  5679.522      6.3530509E+08
  5689.002      6.3389344E+08
  5698.498      6.3248352E+08
  5708.010      6.3107405E+08
  5717.538      6.2966349E+08
  5727.082      6.2824371E+08
  5736.642      6.2682432E+08
  5746.217      6.2540134E+08
  5755.809      6.2397466E+08
  5765.417      6.2254995E+08
  5775.041      6.2111616E+08
  5784.680      6.1968301E+08
  5794.336      6.1824768E+08
  5804.008      6.1680890E+08
  5813.696      6.1536672E+08
  5823.400      6.1392122E+08
  5833.121      6.1181101E+08
  5842.857      6.0956346E+08
  5852.610      6.0731219E+08
  5862.380      6.0505190E+08
  5872.166      6.0279213E+08
  5881.967      6.0172749E+08
  5891.786      6.0113715E+08
  5901.620      6.0055002E+08
  5911.471      5.9995821E+08
  5921.339      5.9936563E+08
  5931.223      5.9813370E+08
  5941.123      5.9651770E+08
  5951.040      5.9490342E+08
  5960.974      5.9328058E+08
  5970.924      5.9165562E+08
  5980.891      5.9029690E+08
  5990.874      5.8911456E+08
  6000.874      5.8793210E+08
  6010.891      5.8674554E+08
  6020.924      5.8555622E+08
  6030.974      5.8428845E+08
  6041.042      5.8296589E+08
  6051.125      5.8163731E+08
  6061.226      5.8030669E+08
  6071.343      5.7897274E+08
  6081.478      5.7763936E+08
  6091.629      5.7630016E+08
  6101.797      5.7495898E+08
  6111.982      5.7361722E+08
  6122.185      5.7227354E+08
  6132.404      5.7093299E+08
  6142.640      5.6960179E+08
  6152.893      5.6826381E+08
  6163.164      5.6692141E+08
  6173.451      5.6557606E+08
  6183.756      5.6405421E+08
  6194.078      5.6249818E+08
  6204.417      5.6094029E+08
  6214.774      5.5937811E+08
  6225.147      5.5781658E+08
  6235.539      5.5667373E+08
  6245.947      5.5552826E+08
  6256.373      5.5438637E+08
  6266.816      5.5324083E+08
  6277.277      5.5201517E+08
  6287.755      5.5051891E+08
  6298.250      5.4901830E+08
  6308.764      5.4751821E+08
  6319.294      5.4601376E+08
  6329.843      5.4467014E+08
  6340.408      5.4352077E+08
  6350.992      5.4237139E+08
  6361.593      5.4121619E+08
  6372.212      5.4006579E+08
  6382.849      5.3887878E+08
  6393.503      5.3768019E+08
  6404.175      5.3648080E+08
  6414.865      5.3528051E+08
  6425.573      5.3406179E+08
  6436.298      5.3255107E+08
  6447.042      5.3103533E+08
  6457.803      5.2952502E+08
  6468.583      5.2800861E+08
  6479.380      5.2596147E+08
  6490.196      5.2314976E+08
  6501.029      5.2032906E+08
  6511.881      5.1749971E+08
  6522.750      5.1467216E+08
  6533.638      5.0418730E+08
  6544.544      4.9169757E+08
  6555.468      4.7917834E+08
  6566.411      4.6663648E+08
  6577.372      4.5926122E+08
  6588.351      4.7068614E+08
  6599.348      4.8212518E+08
  6610.364      4.9358858E+08
  6621.398      5.0507158E+08
  6632.450      5.0800029E+08
  6643.521      5.0678691E+08
  6654.611      5.0556646E+08
  6665.719      5.0434675E+08
  6676.845      5.0320621E+08
  6687.990      5.0247411E+08
  6699.154      5.0174419E+08
  6710.336      5.0101424E+08
  6721.537      5.0028317E+08
  6732.757      4.9920880E+08
  6743.995      4.9797379E+08
  6755.252      4.9673859E+08
  6766.528      4.9550317E+08
  6777.823      4.9426646E+08
  6789.137      4.9305344E+08
  6800.469      4.9183149E+08
  6811.821      4.9061043E+08
  6823.191      4.8938701E+08
  6834.581      4.8824922E+08
  6845.989      4.8712474E+08
  6857.416      4.8600179E+08
  6868.863      4.8487613E+08
  6880.328      4.8371907E+08
  6891.813      4.8252874E+08
  6903.317      4.8133603E+08
  6914.840      4.8014525E+08
  6926.382      4.7895216E+08
  6937.944      4.7779245E+08
  6949.525      4.7662192E+08
  6961.125      4.7545846E+08
  6972.745      4.7428637E+08
  6984.384      4.7311510E+08
  6996.042      4.7194051E+08
  7007.720      4.7076573E+08
  7019.417      4.6958560E+08
  7031.134      4.6822643E+08
  7042.871      4.6671232E+08
